latitude,longitude,altitude (m)
45.63003488,9.287471055,191.1
45.6300382,9.287548119,191.1
45.6300429,9.287628056,191.2
45.63004842,9.287719593,191.2
45.63005425,9.287799466,191.2
45.63005683,9.287873431,191.2
45.63006098,9.287953809,191.2
45.63006417,9.288011359,191.2
45.63006827,9.288069947,191.2
45.63007332,9.288127986,191.3
45.63007663,9.288183252,191.3
45.63007907,9.288243355,191.3
45.63008227,9.288311764,191.3
45.63008655,9.288384274,191.3
45.63008992,9.288448711,191.3
45.63009354,9.288511369,191.3
45.63009685,9.288563699,191.3
45.63010018,9.288630096,191.4
45.63010487,9.288687619,191.4
45.63010759,9.288749148,191.4
45.63011208,9.288815708,191.4
45.63011493,9.288881962,191.4
45.63011914,9.288950587,191.4
45.63012385,9.28901831,191.4
45.63012654,9.289084746,191.5
45.63013133,9.289146213,191.5
45.6301315,9.289202837,191.4
45.63013536,9.289265288,191.3
45.63013713,9.289321438,191.2
45.63013943,9.289385418,191.1
45.63014294,9.289449129,191
45.63014499,9.289505163,191.1
45.63014722,9.289567635,191.2
45.63015117,9.289637485,191.4
45.6301526,9.289705925,191.5
45.6301543,9.289768855,191.5
45.63015715,9.289824289,191.4
45.63015841,9.289867371,191.3
45.63015972,9.289915697,191.2
45.63016417,9.289962981,191.1
45.63016492,9.290004285,191
45.63016543,9.290054482,191
45.63016751,9.290107445,191
45.63017238,9.290157713,191
45.63017239,9.290218074,191
45.63017427,9.290278981,191
45.6301781,9.290345373,191
45.63017926,9.290407845,191
45.63018118,9.290479703,191
45.63018701,9.290546583,191
45.63018768,9.290610711,191
45.63019084,9.290680122,191
45.63019433,9.290732329,191
45.630195,9.290766413,191
45.63019738,9.290800001,191
45.63019729,9.29083362,191
45.63019735,9.290866363,191
45.63019835,9.290897263,191
45.63019927,9.290925802,191
45.63020122,9.290955071,191
45.63020378,9.290984427,191
45.63020188,9.291007691,191
45.63020462,9.29103473,191
45.63020471,9.291057856,191
45.63020471,9.291076858,191
45.63020473,9.291101644,191
45.63020674,9.291123238,191
45.63020877,9.291141617,191
45.63020819,9.29115984,191
45.63020938,9.291174467,191
45.63020956,9.291189894,191
45.63020955,9.29120581,191
45.63020999,9.291220625,191
45.63021088,9.291236795,191
45.63021084,9.291255179,191
45.63021248,9.291269304,191
45.63021458,9.29128247,191
45.63021979,9.291293313,191
45.63022415,9.291309454,191
45.63022818,9.291322398,191
45.63023588,9.291336755,191
45.63024168,9.291352659,191
45.63024865,9.291367325,191
45.63026142,9.291380252,191
45.63027261,9.291396432,191
45.63028278,9.291408228,191
45.63029387,9.291421589,191.1
45.63031,9.291433125,191.1
45.63032626,9.291440297,191.1
45.63033855,9.291444933,191.2
45.63035161,9.291450598,191.2
45.63036429,9.291456044,191.2
45.63037768,9.291462249,191.3
45.63039182,9.291468821,191.3
