latitude,longitude,altitude (m)
45.6312827,9.295964077,189.6
45.63127247,9.295995744,189.6
45.63125186,9.296059105,189.5
45.63123631,9.296092999,189.5
45.63122513,9.296117675,189.4
45.63121504,9.296144086,189.4
45.63120428,9.296165366,189.3
45.63119313,9.296191319,189.3
45.6311742,9.296212366,189.2
45.63115893,9.296240295,189.2
45.63109818,9.296318564,189
45.63108745,9.296331889,189
45.63107709,9.296343318,189
45.63106137,9.296361578,189
45.63104614,9.296376597,189
45.63103214,9.296392087,189
45.63101561,9.296408305,189
45.63098748,9.296429522,188.9
45.63096446,9.296448643,188.9
45.63093961,9.296465937,188.8
45.63091415,9.296479634,188.8
45.63088348,9.296493203,188.7
45.63085501,9.296502164,188.6
45.63083075,9.296509325,188.6
45.63080615,9.29651775,188.5
45.63077944,9.296523673,188.5
45.63076006,9.296526888,188.5
45.63074052,9.296527653,188.5
45.63073023,9.296529766,188.5
45.63066361,9.296538924,188.5
45.63058574,9.296549367,188.4
45.63051006,9.296563825,188.3
45.63043649,9.296569905,188.2
45.63037744,9.296578466,188.1
45.63032708,9.296585017,188.1
45.63026279,9.296591365,188
45.63021603,9.296596332,188
45.63017257,9.296602395,188
45.63012207,9.296608087,188
45.63007737,9.296615754,188
45.63004035,9.296619888,188
45.63000247,9.296624576,188
45.62997152,9.296629104,188
45.6299139,9.296636423,188
45.62985662,9.296641849,188
45.62980049,9.296652561,188
45.62975747,9.296656344,188
45.62971312,9.296661529,188
45.62966387,9.296669071,188
45.6296264,9.296674465,188
45.62958666,9.296678918,188
45.62955719,9.296683227,188
45.62952937,9.296685772,188
45.62928348,9.296714999,188
45.6292357,9.296722906,188
45.62919806,9.296728673,188
45.62915461,9.296734515,188
45.62911391,9.296740659,187.9
45.62907668,9.296746535,187.8
45.6290028,9.296754495,187.6
45.62892798,9.296764729,187.4
45.62886159,9.296772698,187.4
45.62882714,9.296777432,187.4
45.62878832,9.296782725,187.4
45.62875573,9.296787169,187.4
45.62872797,9.296791963,187.5
45.62870299,9.296793509,187.5
45.62868127,9.296797434,187.5
45.62866058,9.296797591,187.5
45.62863674,9.296794806,187.5
45.62861176,9.296791579,187.4
45.62858654,9.296788816,187.4
45.62856792,9.296784495,187.4
45.62854514,9.296780566,187.4
45.62852221,9.296769533,187.4
45.62849727,9.296754746,187.3
45.62847763,9.296737655,187.3
45.62845853,9.296721121,187.2
45.62844365,9.296707687,187.1
45.62843355,9.296693486,187.1
45.62842258,9.296682173,187.1
45.62841245,9.296666067,187
45.62840226,9.296647939,187
45.62839571,9.296630498,187
45.62838814,9.296618247,187
45.62838096,9.29660334,187
45.62837598,9.296593408,187
45.62836881,9.296584689,187
45.62836135,9.296568061,187
45.62834986,9.296539614,187
45.62833461,9.296510256,187
45.62832229,9.296476683,187
45.62831228,9.296448516,187.1
45.62830168,9.296417474,187.1
45.62828985,9.29639492,187.2
45.62827573,9.296367127,187.2
45.62826782,9.296332339,187.2
45.62825319,9.296296527,187.2
45.62823923,9.296261888,187.2
45.6282269,9.296228232,187.2
45.62821484,9.296197183,187.1
45.62820401,9.296164542,187.1
45.62818998,9.29613236,187
45.62816752,9.296077086,187
45.62813984,9.296010868,187
45.62811821,9.295947818,187
45.62809318,9.295896384,187
45.62807033,9.295833387,187
45.62804734,9.29577195,187
45.62802375,9.295706932,187.1
45.62800184,9.295663179,187.1
45.62797664,9.295595454,187
45.62792763,9.295467719,187
45.62788116,9.295349833,187
45.62784173,9.295242946,187
45.62779975,9.295140608,187
45.62776976,9.295060004,187
45.62773739,9.294976158,187
45.62771002,9.294906228,187
45.6276805,9.294829617,187
45.62765381,9.294761279,187
45.62763383,9.294705222,187
45.6275883,9.294591513,187
45.62754523,9.294480195,187
45.62751744,9.294410315,187
45.62736146,9.294010513,187
45.62731793,9.29390079,187
45.62729083,9.293831361,187
45.62723987,9.293693597,187
45.62719848,9.293594022,187
45.62716632,9.293510427,187
45.62709561,9.293321846,187
45.62703008,9.29315988,187
45.62697502,9.293020539,187
45.62693689,9.292923999,187
45.62687692,9.292775431,187
45.62683284,9.292677278,187.1
45.62674091,9.292473829,187.8
45.62665775,9.292301005,188
45.6266041,9.292189934,187.8
45.62655074,9.292087464,187.6
45.62650541,9.292009538,187.4
45.62645851,9.291925017,187.2
45.62641185,9.291841684,187.1
45.62635029,9.291735712,187
45.62629929,9.291654719,187
45.62625983,9.291591893,186.7
45.62622186,9.29153011,186.5
45.62617698,9.291452937,186.2
45.6261557,9.291416982,186.1
45.62612372,9.291370049,186
45.6260962,9.291323126,186
45.62607413,9.291288355,186
45.626034,9.291220466,186
45.62601553,9.291189148,186
45.62599267,9.291158427,186
45.62597452,9.291126993,186
45.62594923,9.291081979,186
45.62592643,9.291045321,186
45.62590358,9.291007323,186
45.6258846,9.290977047,186
45.62586605,9.290949169,186
45.62583525,9.290896423,186
45.62577401,9.290795918,186
45.6257005,9.290676951,186
45.62564166,9.290579046,186
45.62560857,9.290525158,186
45.62558393,9.290486482,186
45.62555688,9.290441862,186
45.62552833,9.290394096,186
45.62547389,9.290306954,186
45.62543157,9.290238954,186.2
45.62540501,9.29019352,186.4
45.62536699,9.290131754,186.7
45.62533951,9.290086772,186.8
45.62527756,9.289988543,187
45.62521377,9.289877039,186.5
45.62514183,9.289763949,185.9
45.62508949,9.289680986,185.7
45.62502976,9.289582789,186.2
45.62497443,9.289492062,187
45.62493401,9.289426118,186.9
45.62491323,9.289392603,186.7
45.62472277,9.289085048,187.3
45.62466935,9.288991926,186.7
45.62462549,9.288921538,185.9
45.62455347,9.288803475,185.2
45.62449528,9.288710302,185.6
45.62444682,9.288629355,186.7
45.62438583,9.28853104,186.3
45.62433304,9.288448129,186.1
45.62420969,9.288240967,186.4
45.62415666,9.288158054,186.6
45.62399433,9.287894322,185.9
45.62387668,9.287702413,186.2
45.62378882,9.287559495,186.4
45.62369988,9.287411209,186.5
45.62364831,9.287332367,186.7
45.62354294,9.287153815,186.6
45.62348102,9.287058493,186.3
45.62342171,9.286961424,186.3
45.623371,9.286878875,186.1
45.62333065,9.286809802,186
45.62329248,9.2867452,185.9
45.62325646,9.286690903,185.7
45.62319743,9.286586762,185.7
45.62314911,9.286509163,185.7
45.62312193,9.286460837,185.8
45.62310103,9.286426063,185.9
45.62308152,9.286395018,186
45.62306737,9.28637484,186
45.62305149,9.286346258,186
45.62303412,9.286320076,185.9
45.62301882,9.286296273,185.9
45.62300487,9.286273505,185.9
45.62299191,9.286250079,185.9
45.6229792,9.286231994,185.9
45.62297007,9.28621588,185.9
45.62296184,9.286199661,185.9
45.62295324,9.286183556,185.9
45.62294477,9.286170033,185.9
45.62292961,9.286147085,185.9
45.62291606,9.286122588,186
45.62289881,9.286098861,186
45.62288743,9.286081153,186
45.62287782,9.286066022,186
45.62286835,9.286051702,186
45.6228592,9.286037081,186
45.62284956,9.286021889,186
45.62283799,9.286003804,186
45.62282695,9.285984309,186
45.62281061,9.285959981,186
45.62279672,9.285939335,186
45.62278252,9.285919109,186
45.62276967,9.285905883,186
45.62276164,9.285893029,186
45.62274916,9.285880783,186
45.62273937,9.28586993,186
45.62272893,9.285862893,186
45.62271913,9.285852838,186
45.62270818,9.285844125,186
45.62269479,9.285837958,186
45.62268133,9.285830551,186
45.62266775,9.285825997,186
45.62265107,9.285821976,186
45.62263217,9.285818662,186
45.62261647,9.285817335,186
45.62259989,9.285816964,186
45.62258104,9.285817283,186
45.62256545,9.285818496,186
45.62255322,9.285819113,186
45.62254024,9.285821354,186
45.62252978,9.285820794,186
45.62251497,9.285822369,186
45.62249883,9.285823439,186
45.62248,9.285825488,185.9
45.62246335,9.285828897,185.9
45.62244729,9.285830549,185.8
45.62243381,9.285830816,185.8
45.62242176,9.285829485,185.7
45.62241085,9.285829698,185.7
45.6223964,9.285832252,185.6
45.6223835,9.285834769,185.6
45.62236484,9.285839757,185.5
45.62234403,9.285844394,185.4
45.62232706,9.285847615,185.4
45.62230804,9.285850788,185.3
45.62229091,9.285854199,185.2
45.62227245,9.285857042,185.2
45.62225616,9.285859648,185.1
45.62223913,9.285861739,185.1
45.62222067,9.285862983,185
45.62220139,9.285864892,185
45.6221839,9.285865226,185
45.62216871,9.285865865,185
45.62215496,9.285865131,185
45.62214165,9.285865706,185
45.62212367,9.285865392,185
45.6221054,9.285864008,185
45.62208443,9.285861118,185
45.62206905,9.28585982,185
45.62205454,9.285858149,185
45.62203682,9.285854681,185
45.6220148,9.285850767,185
45.62199642,9.285847643,185
45.6219785,9.285843498,185
45.62196525,9.285839787,185
45.62194836,9.285835347,185
45.62192876,9.285828424,185
45.62191148,9.285822206,185
45.62189277,9.285813862,185
45.62187664,9.285806401,185
45.62186084,9.285800097,185
45.62184385,9.285790219,185
45.62182604,9.285781853,185
45.62181095,9.285773466,185
45.62179747,9.285765697,185
