type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.573488421	2.258959549	141.3			
T	41.573526318	2.258970711	141.4			
T	41.573568374	2.258995457	141.5			
T	41.573614495	2.259024039	141.5			
T	41.573658651	2.259064535	141.5			
T	41.573692861	2.259105085	141.5			
T	41.573736271	2.259159403	141.5			
T	41.573758858	2.259196598	141.5			
T	41.573785511	2.259237779	141.6			
T	41.573808628	2.259274489	141.7			
T	41.573832146	2.259309546	141.8			
T	41.573849345	2.259338895	141.9			
T	41.573866373	2.259367602	141.9			
T	41.573882886	2.259398258	142.0			
T	41.573900948	2.259430040	142.0			
T	41.573925234	2.259467678	141.9			
T	41.573949694	2.259510041	141.8			
T	41.573983572	2.259570635	141.7			
T	41.574015002	2.259622074	141.7			
T	41.574049499	2.259674438	141.7			
T	41.574081861	2.259731334	141.7			
T	41.574115362	2.259780950	141.6			
T	41.574154433	2.259836265	141.5			
T	41.574187556	2.259894435	141.4			
T	41.574223814	2.259961124	141.2			
T	41.574261583	2.260021275	140.9			
T	41.574291369	2.260065496	140.8			
T	41.574312993	2.260097412	140.6			
T	41.574334939	2.260133546	140.5			
T	41.574359138	2.260168556	140.4			
T	41.574381589	2.260209393	140.2			
T	41.574406338	2.260252835	140.1			
T	41.574433401	2.260296190	139.9			
T	41.574477119	2.260358770	139.8			
T	41.574507117	2.260415271	139.6			
T	41.574543597	2.260475685	139.4			
T	41.574572797	2.260527614	139.1			
T	41.574596551	2.260578715	138.9			
T	41.574622913	2.260635342	138.6			
T	41.574647912	2.260701749	138.3			
T	41.574664679	2.260756129	138.1			
T	41.574676388	2.260798559	138.0			
T	41.574691851	2.260852809	137.8			
T	41.574705576	2.260926748	137.6			
T	41.574709768	2.260995534	137.4			
T	41.574709584	2.261047064	137.2			
T	41.574710542	2.261095479	137.0			
T	41.574706358	2.261147596	136.8			
T	41.574703623	2.261194659	136.6			
T	41.574699600	2.261236068	136.5			
T	41.574694506	2.261280152	136.3			
T	41.574688715	2.261320492	136.1			
T	41.574679781	2.261354949	136.0			
T	41.574662955	2.261386526	135.8			
T	41.574649562	2.261420988	135.6			
T	41.574629403	2.261468192	135.3			
T	41.574609629	2.261522510	134.9			
T	41.574589386	2.261575827	134.5			
T	41.574569312	2.261622851	134.1			
