type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.565570577	2.254056170	127.5			
T	41.565557045	2.254056739	127.4			
T	41.565539680	2.254060900	127.4			
T	41.565527798	2.254069726	127.3			
T	41.565511741	2.254078221	127.3			
T	41.565499949	2.254087163	127.3			
T	41.565485866	2.254096111	127.3			
T	41.565475887	2.254109305	127.2			
T	41.565464470	2.254122205	127.2			
T	41.565453966	2.254135074	127.1			
T	41.565445428	2.254145395	127.1			
T	41.565431710	2.254161290	127.0			
T	41.565425947	2.254177279	126.9			
T	41.565417571	2.254191152	126.9			
T	41.565410697	2.254209945	126.8			
T	41.565400412	2.254219361	126.7			
T	41.565391366	2.254237990	126.6			
T	41.565379143	2.254254639	126.6			
T	41.565377512	2.254273044	126.5			
T	41.565373949	2.254288323	126.4			
T	41.565370089	2.254306912	126.3			
T	41.565367969	2.254323236	126.3			
T	41.565362755	2.254341510	126.2			
T	41.565360737	2.254355042	126.1			
T	41.565359030	2.254374773	126.0			
T	41.565359607	2.254392089	125.9			
T	41.565356639	2.254409139	125.9			
T	41.565358706	2.254421527	125.8			
T	41.565360101	2.254435332	125.7			
T	41.565358770	2.254446489	125.7			
T	41.565360405	2.254458559	125.6			
T	41.565361059	2.254467705	125.6			
T	41.565361590	2.254481554	125.5			
T	41.565362945	2.254494336	125.4			
T	41.565365900	2.254508614	125.3			
T	41.565367455	2.254518525	125.2			
T	41.565370194	2.254529983	125.2			
T	41.565377767	2.254540932	125.1			
T	41.565382106	2.254554984	125.0			
T	41.565392644	2.254583103	124.8			
T	41.565402898	2.254611003	124.6			
T	41.565409773	2.254635434	124.5			
T	41.565418443	2.254659867	124.3			
T	41.565427495	2.254684402	124.2			
T	41.565435145	2.254709817	124.1			
T	41.565442678	2.254737056	123.9			
T	41.565450758	2.254763006	123.8			
T	41.565460390	2.254787234	123.6			
T	41.565467414	2.254808442	123.5			
T	41.565474626	2.254826127	123.4			
T	41.565476506	2.254842792	123.3			
T	41.565486451	2.254867220	123.1			
T	41.565492010	2.254882249	123.0			
T	41.565498349	2.254898211	122.9			
T	41.565504241	2.254919378	122.7			
T	41.565509288	2.254932937	122.6			
T	41.565514011	2.254948551	122.5			
T	41.565518572	2.254961307	122.4			
T	41.565521493	2.254976977	122.3			
T	41.565529545	2.254991863	122.1			
T	41.565534426	2.255011441	122.0			
T	41.565540961	2.255028892	121.9			
T	41.565546343	2.255041809	121.9			
T	41.565550059	2.255051434	121.8			
T	41.565557488	2.255081501	121.7			
T	41.565568903	2.255114954	121.8			
T	41.565582651	2.255153714	121.8			
T	41.565596265	2.255190287	121.7			
T	41.565608038	2.255227982	121.7			
T	41.565622948	2.255266253	121.6			
T	41.565635403	2.255305067	121.4			
T	41.565645959	2.255334519	121.2			
T	41.565654066	2.255356465	121.1			
T	41.565662072	2.255377918	121.0			
T	41.565667406	2.255399184	120.8			
T	41.565674525	2.255424466	120.7			
T	41.565683567	2.255449853	120.4			
T	41.565695266	2.255481071	120.2			
T	41.565706621	2.255506929	119.9			
T	41.565710938	2.255528508	119.7			
T	41.565718844	2.255546014	119.5			
T	41.565724739	2.255569687	119.3			
T	41.565727424	2.255590808	119.3			
T	41.565735526	2.255607640	119.2			
T	41.565743718	2.255628219	119.1			
T	41.565748787	2.255647778	119.0			
T	41.565757025	2.255666649	118.9			
T	41.565762303	2.255682309	118.8			
T	41.565768992	2.255702928	118.7			
T	41.565775299	2.255721806	118.6			
T	41.565780792	2.255739527	118.5			
T	41.565788380	2.255762610	118.4			
T	41.565795684	2.255784656	118.3			
T	41.565803269	2.255806801	118.2			
T	41.565811587	2.255827617	118.1			
T	41.565819357	2.255849587	118.0			
T	41.565825803	2.255869646	117.9			
T	41.565830324	2.255889105	117.8			
T	41.565834591	2.255906475	117.8			
T	41.565842206	2.255924443	117.8			
T	41.565849284	2.255941140	117.8			
T	41.565854063	2.255956858	117.8			
T	41.565860161	2.255970430	117.8			
T	41.565863799	2.255985389	117.8			
T	41.565868440	2.255996892	117.8			
T	41.565894747	2.256068910	117.7			
T	41.565902529	2.256086313	117.7			
T	41.565908109	2.256106484	117.6			
T	41.565917072	2.256123404	117.6			
T	41.565922107	2.256134766	117.6			
T	41.565925155	2.256150098	117.5			
T	41.565928014	2.256157888	117.5			
T	41.565934959	2.256169683	117.5			
T	41.565939717	2.256182702	117.5			
T	41.565961745	2.256231044	117.3			
T	41.565977479	2.256267018	117.2			
T	41.565989478	2.256298530	117.0			
T	41.566009515	2.256338780	116.7			
T	41.566028695	2.256377022	116.4			
T	41.566047143	2.256409204	116.2			
T	41.566065462	2.256448327	116.0			
T	41.566084746	2.256475332	115.8			
T	41.566102980	2.256507011	115.6			
T	41.566114440	2.256531344	115.5			
T	41.566132564	2.256557168	115.6			
T	41.566143106	2.256575314	115.6			
T	41.566154592	2.256598210	115.6			
T	41.566170614	2.256618735	115.5			
T	41.566180653	2.256635069	115.5			
T	41.566192213	2.256656627	115.4			
T	41.566204383	2.256675746	115.3			
T	41.566214294	2.256687458	115.3			
T	41.566225857	2.256702944	115.4			
T	41.566238661	2.256718263	115.4			
T	41.566247855	2.256732183	115.4			
T	41.566273895	2.256763171	115.4			
T	41.566293403	2.256796775	115.3			
T	41.566319424	2.256828461	115.3			
T	41.566340711	2.256852943	115.3			
T	41.566366536	2.256884315	115.2			
T	41.566395764	2.256920510	115.1			
T	41.566420344	2.256943837	115.0			
T	41.566444754	2.256971372	115.0			
T	41.566461724	2.256991157	115.0			
T	41.566485170	2.257013215	115.0			
T	41.566502486	2.257028222	115.0			
T	41.566514826	2.257041592	115.0			
T	41.566543541	2.257066004	115.0			
T	41.566569935	2.257092857	115.0			
T	41.566592496	2.257111761	115.0			
T	41.566615706	2.257131882	115.0			
T	41.566638859	2.257150666	115.0			
T	41.566660687	2.257170981	115.0			
T	41.566682477	2.257189915	115.1			
T	41.566702851	2.257205760	115.2			
T	41.566741115	2.257240439	115.2			
T	41.566778524	2.257274941	115.3			
T	41.566810419	2.257297519	115.4			
T	41.566836646	2.257319885	115.4			
T	41.566858292	2.257340226	115.4			
T	41.566883439	2.257362159	115.4			
T	41.566903158	2.257378293	115.4			
T	41.566924069	2.257397126	115.3			
T	41.566942827	2.257413815	115.3			
T	41.566958047	2.257427361	115.3			
T	41.566971672	2.257438720	115.3			
T	41.566992828	2.257457524	115.2			
T	41.567009209	2.257470156	115.2			
T	41.567025158	2.257483631	115.1			
T	41.567038630	2.257496291	115.0			
T	41.567052882	2.257507782	115.0			
T	41.567062552	2.257515365	115.1			
T	41.567070921	2.257523227	115.1			
T	41.567077745	2.257527993	115.1			
T	41.567086404	2.257535439	115.1			
T	41.567094597	2.257541724	115.2			
T	41.567101499	2.257548701	115.2			
T	41.567126815	2.257569130	115.2			
T	41.567139078	2.257579733	115.3			
T	41.567156519	2.257593451	115.3			
T	41.567169215	2.257606262	115.4			
T	41.567185291	2.257619498	115.4			
T	41.567194940	2.257626502	115.5			
T	41.567203488	2.257633630	115.5			
T	41.567212121	2.257641286	115.5			
T	41.567222006	2.257649807	115.5			
T	41.567233673	2.257659890	115.6			
T	41.567242899	2.257665371	115.7			
T	41.567253663	2.257675960	115.8			
T	41.567265129	2.257682207	115.9			
T	41.567276425	2.257691325	115.9			
T	41.567284624	2.257696571	116.0			
T	41.567293000	2.257700519	116.0			
T	41.567302164	2.257704952	116.1			
T	41.567311669	2.257710134	116.2			
T	41.567322730	2.257714003	116.2			
T	41.567332068	2.257717806	116.3			
T	41.567340472	2.257719906	116.3			
T	41.567352254	2.257722671	116.4			
T	41.567361632	2.257724600	116.4			
T	41.567368936	2.257725458	116.4			
T	41.567377228	2.257726855	116.5			
T	41.567385206	2.257726296	116.5			
T	41.567392516	2.257727244	116.5			
T	41.567400547	2.257727776	116.6			
T	41.567408578	2.257728653	116.6			
T	41.567416450	2.257726558	116.6			
T	41.567426313	2.257725657	116.7			
T	41.567437123	2.257723304	116.7			
T	41.567445175	2.257722145	116.8			
T	41.567454816	2.257721541	116.8			
T	41.567464911	2.257718563	116.8			
T	41.567472941	2.257716762	116.9			
T	41.567480216	2.257713745	116.9			
T	41.567486941	2.257711991	116.9			
T	41.567492642	2.257708982	117.0			
T	41.567499347	2.257707134	117.0			
T	41.567504235	2.257704775	117.0			
T	41.567511524	2.257701497	117.1			
T	41.567516955	2.257697741	117.1			
T	41.567521826	2.257695126	117.1			
T	41.567524932	2.257693029	117.2			
T	41.567531706	2.257690162	117.2			
T	41.567537183	2.257686890	117.2			
T	41.567542095	2.257684138	117.3			
T	41.567545575	2.257680829	117.3			
T	41.567555041	2.257676230	117.3			
T	41.567560998	2.257671245	117.4			
T	41.567566793	2.257666345	117.4			
T	41.567571902	2.257662344	117.4			
T	41.567576825	2.257657891	117.4			
T	41.567582653	2.257654094	117.5			
T	41.567586534	2.257650560	117.5			
T	41.567594415	2.257644180	117.5			
T	41.567600542	2.257638107	117.5			
T	41.567605023	2.257631362	117.6			
T	41.567611902	2.257624291	117.6			
