type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.630125325	9.291182587	191.0			
T	45.630125553	9.291216013	191.0			
T	45.630128529	9.291240659	191.0			
T	45.630130586	9.291276331	191.0			
T	45.630131658	9.291311627	191.0			
T	45.630137419	9.291345685	191.0			
T	45.630142256	9.291369680	191.0			
T	45.630145624	9.291386675	191.0			
T	45.630149739	9.291407450	191.0			
T	45.630156059	9.291423831	191.0			
T	45.630159951	9.291438741	191.0			
T	45.630166986	9.291452968	191.0			
T	45.630175376	9.291466644	191.0			
T	45.630183079	9.291478674	191.0			
T	45.630194397	9.291492384	191.0			
T	45.630205278	9.291502860	191.0			
T	45.630218363	9.291511239	191.0			
T	45.630232669	9.291522322	191.0			
T	45.630247378	9.291528771	191.0			
T	45.630262005	9.291536601	191.0			
T	45.630277480	9.291542431	191.0			
T	45.630293524	9.291551603	191.0			
T	45.630312436	9.291560968	191.0			
T	45.630334947	9.291568698	191.1			
T	45.630357717	9.291581495	191.1			
T	45.630383968	9.291594765	191.1			
T	45.630408636	9.291605373	191.1			
T	45.630427011	9.291611548	191.1			
T	45.630443507	9.291621149	191.1			
T	45.630462255	9.291630778	191.1			
T	45.630478843	9.291641745	191.1			
T	45.630494668	9.291656086	191.0			
T	45.630509555	9.291678785	191.0			
T	45.630520714	9.291703009	191.0			
T	45.630524352	9.291722715	191.0			
T	45.630526352	9.291742444	191.0			
T	45.630529677	9.291764581	191.0			
T	45.630532846	9.291794168	191.0			
T	45.630535484	9.291825062	191.0			
T	45.630537574	9.291855862	191.0			
T	45.630542334	9.291889008	191.0			
T	45.630547768	9.291926103	191.0			
T	45.630554427	9.291997260	191.0			
T	45.630565541	9.292059128	191.0			
T	45.630575517	9.292131274	191.0			
T	45.630587015	9.292207231	191.0			
T	45.630602923	9.292288702	190.8			
T	45.630609633	9.292378678	190.5			
T	45.630625575	9.292430706	190.4			
T	45.630636633	9.292497478	190.3			
T	45.630652564	9.292579901	190.3			
T	45.630668327	9.292656600	190.4			
T	45.630687962	9.292739062	190.5			
T	45.630701657	9.292806232	190.5			
T	45.630720816	9.292881587	190.4			
T	45.630739329	9.292956572	190.2			
T	45.630753413	9.293014957	190.1			
T	45.630768708	9.293088818	190.0			
T	45.630790086	9.293180328	190.0			
T	45.630812774	9.293282819	190.0			
T	45.630832352	9.293368017	190.0			
T	45.630852154	9.293454897	190.0			
T	45.630876721	9.293554443	190.0			
T	45.630896821	9.293642314	190.0			
T	45.630920224	9.293740185	190.0			
T	45.630938637	9.293813499	190.0			
T	45.630956890	9.293893658	190.0			
T	45.630972217	9.293955386	190.0			
T	45.630991296	9.294029400	190.0			
T	45.631004775	9.294097156	190.0			
T	45.631019115	9.294160225	190.0			
T	45.631040088	9.294247414	189.9			
T	45.631061142	9.294352924	189.9			
T	45.631081492	9.294456953	189.9			
T	45.631101061	9.294535246	190.0			
T	45.631129141	9.294631727	190.0			
T	45.631153280	9.294737408	190.0			
T	45.631175950	9.294826860	189.7			
T	45.631197661	9.294914661	189.5			
T	45.631205011	9.294994690	189.4			
T	45.631226997	9.295090001	189.4			
T	45.631248328	9.295184024	189.5			
T	45.631272115	9.295235804	189.6			
T	45.631277789	9.295259777	189.6			
T	45.631284208	9.295285967	189.6			
T	45.631289038	9.295313786	189.6			
T	45.631292633	9.295339993	189.7			
T	45.631299660	9.295369721	189.7			
T	45.631306422	9.295399267	189.7			
T	45.631310020	9.295434908	189.7			
T	45.631316173	9.295465434	189.7			
T	45.631320516	9.295499882	189.8			
T	45.631322615	9.295530321	189.8			
T	45.631323313	9.295565239	189.8			
T	45.631324730	9.295597467	189.8			
T	45.631325463	9.295632791	189.8			
T	45.631324652	9.295662149	189.8			
T	45.631322154	9.295685242	189.8			
T	45.631318854	9.295711781	189.7			
T	45.631318729	9.295739043	189.7			
T	45.631317829	9.295762007	189.7			
T	45.631313191	9.295786589	189.7			
T	45.631310127	9.295811313	189.7			
T	45.631296470	9.295832027	189.7			
T	45.631300492	9.295877198	189.7			
T	45.631294976	9.295906129	189.7			
T	45.631291158	9.295932379	189.6			
T	45.631282695	9.295964077	189.6			
T	45.631272473	9.295995744	189.6			
T	45.631251863	9.296059105	189.5			
T	45.631236306	9.296092999	189.5			
T	45.631225133	9.296117675	189.4			
T	45.631215035	9.296144086	189.4			
T	45.631204275	9.296165366	189.3			
T	45.631193132	9.296191319	189.3			
T	45.631174195	9.296212366	189.2			
T	45.631158925	9.296240295	189.2			
T	45.631098183	9.296318564	189.0			
T	45.631087450	9.296331889	189.0			
T	45.631077086	9.296343318	189.0			
T	45.631061367	9.296361578	189.0			
T	45.631046138	9.296376597	189.0			
T	45.631032143	9.296392087	189.0			
T	45.631015605	9.296408305	189.0			
T	45.630987482	9.296429522	188.9			
T	45.630964462	9.296448643	188.9			
T	45.630939608	9.296465937	188.8			
T	45.630914149	9.296479634	188.8			
T	45.630883476	9.296493203	188.7			
T	45.630855005	9.296502164	188.6			
T	45.630830752	9.296509325	188.6			
T	45.630806150	9.296517750	188.5			
T	45.630779436	9.296523673	188.5			
T	45.630760055	9.296526888	188.5			
T	45.630740518	9.296527653	188.5			
T	45.630730231	9.296529766	188.5			
T	45.630663605	9.296538924	188.5			
T	45.630585738	9.296549367	188.4			
T	45.630510061	9.296563825	188.3			
T	45.630436492	9.296569905	188.2			
T	45.630377442	9.296578466	188.1			
T	45.630327079	9.296585017	188.1			
T	45.630262786	9.296591365	188.0			
T	45.630216030	9.296596332	188.0			
T	45.630172571	9.296602395	188.0			
T	45.630122068	9.296608087	188.0			
T	45.630077368	9.296615754	188.0			
T	45.630040350	9.296619888	188.0			
T	45.630002467	9.296624576	188.0			
T	45.629971523	9.296629104	188.0			
T	45.629913904	9.296636423	188.0			
T	45.629856621	9.296641849	188.0			
T	45.629800489	9.296652561	188.0			
T	45.629757466	9.296656344	188.0			
T	45.629713121	9.296661529	188.0			
T	45.629663869	9.296669071	188.0			
T	45.629626395	9.296674465	188.0			
T	45.629586663	9.296678918	188.0			
T	45.629557193	9.296683227	188.0			
T	45.629529368	9.296685772	188.0			
T	45.629283484	9.296714999	188.0			
T	45.629235695	9.296722906	188.0			
T	45.629198062	9.296728673	188.0			
T	45.629154609	9.296734515	188.0			
T	45.629113914	9.296740659	187.9			
T	45.629076681	9.296746535	187.8			
T	45.629002795	9.296754495	187.6			
T	45.628927977	9.296764729	187.4			
T	45.628861587	9.296772698	187.4			
T	45.628827140	9.296777432	187.4			
T	45.628788316	9.296782725	187.4			
T	45.628755734	9.296787169	187.4			
T	45.628727970	9.296791963	187.5			
T	45.628702986	9.296793509	187.5			
T	45.628681270	9.296797434	187.5			
T	45.628660577	9.296797591	187.5			
T	45.628636741	9.296794806	187.5			
T	45.628611762	9.296791579	187.4			
T	45.628586540	9.296788816	187.4			
T	45.628567923	9.296784495	187.4			
T	45.628545140	9.296780566	187.4			
T	45.628522207	9.296769533	187.4			
T	45.628497274	9.296754746	187.3			
T	45.628477629	9.296737655	187.3			
T	45.628458533	9.296721121	187.2			
T	45.628443652	9.296707687	187.1			
T	45.628433546	9.296693486	187.1			
T	45.628422582	9.296682173	187.1			
T	45.628412445	9.296666067	187.0			
T	45.628402255	9.296647939	187.0			
T	45.628395706	9.296630498	187.0			
T	45.628388139	9.296618247	187.0			
T	45.628380960	9.296603340	187.0			
T	45.628375984	9.296593408	187.0			
T	45.628368809	9.296584689	187.0			
T	45.628361349	9.296568061	187.0			
T	45.628349857	9.296539614	187.0			
T	45.628334606	9.296510256	187.0			
T	45.628322285	9.296476683	187.0			
T	45.628312283	9.296448516	187.1			
T	45.628301677	9.296417474	187.1			
T	45.628289852	9.296394920	187.2			
T	45.628275727	9.296367127	187.2			
T	45.628267822	9.296332339	187.2			
T	45.628253186	9.296296527	187.2			
T	45.628239232	9.296261888	187.2			
T	45.628226895	9.296228232	187.2			
T	45.628214835	9.296197183	187.1			
T	45.628204010	9.296164542	187.1			
T	45.628189980	9.296132360	187.0			
T	45.628167521	9.296077086	187.0			
T	45.628139836	9.296010868	187.0			
T	45.628118209	9.295947818	187.0			
T	45.628093180	9.295896384	187.0			
T	45.628070326	9.295833387	187.0			
T	45.628047342	9.295771950	187.0			
T	45.628023747	9.295706932	187.1			
T	45.628001844	9.295663179	187.1			
T	45.627976636	9.295595454	187.0			
T	45.627927634	9.295467719	187.0			
T	45.627881162	9.295349833	187.0			
T	45.627841733	9.295242946	187.0			
T	45.627799745	9.295140608	187.0			
T	45.627769763	9.295060004	187.0			
T	45.627737393	9.294976158	187.0			
T	45.627710019	9.294906228	187.0			
T	45.627680501	9.294829617	187.0			
T	45.627653809	9.294761279	187.0			
T	45.627633829	9.294705222	187.0			
T	45.627588299	9.294591513	187.0			
T	45.627545229	9.294480195	187.0			
T	45.627517436	9.294410315	187.0			
T	45.627361463	9.294010513	187.0			
T	45.627317932	9.293900790	187.0			
T	45.627290825	9.293831361	187.0			
T	45.627239874	9.293693597	187.0			
T	45.627198480	9.293594022	187.0			
T	45.627166324	9.293510427	187.0			
T	45.627095606	9.293321846	187.0			
T	45.627030079	9.293159880	187.0			
T	45.626975016	9.293020539	187.0			
T	45.626936893	9.292923999	187.0			
T	45.626876920	9.292775431	187.0			
T	45.626832842	9.292677278	187.1			
T	45.626740911	9.292473829	187.8			
T	45.626657753	9.292301005	188.0			
T	45.626604103	9.292189934	187.8			
T	45.626550738	9.292087464	187.6			
T	45.626505408	9.292009538	187.4			
T	45.626458511	9.291925017	187.2			
T	45.626411847	9.291841684	187.1			
T	45.626350292	9.291735712	187.0			
T	45.626299293	9.291654719	187.0			
T	45.626259828	9.291591893	186.7			
T	45.626221864	9.291530110	186.5			
T	45.626176984	9.291452937	186.2			
T	45.626155704	9.291416982	186.1			
T	45.626123719	9.291370049	186.0			
T	45.626096199	9.291323126	186.0			
T	45.626074132	9.291288355	186.0			
T	45.626033998	9.291220466	186.0			
T	45.626015532	9.291189148	186.0			
T	45.625992669	9.291158427	186.0			
T	45.625974517	9.291126993	186.0			
T	45.625949226	9.291081979	186.0			
T	45.625926428	9.291045321	186.0			
T	45.625903584	9.291007323	186.0			
T	45.625884595	9.290977047	186.0			
T	45.625866048	9.290949169	186.0			
T	45.625835248	9.290896423	186.0			
T	45.625774011	9.290795918	186.0			
T	45.625700502	9.290676951	186.0			
T	45.625641657	9.290579046	186.0			
T	45.625608570	9.290525158	186.0			
T	45.625583933	9.290486482	186.0			
T	45.625556877	9.290441862	186.0			
T	45.625528331	9.290394096	186.0			
T	45.625473889	9.290306954	186.0			
T	45.625431568	9.290238954	186.2			
T	45.625405006	9.290193520	186.4			
T	45.625366991	9.290131754	186.7			
