type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.629724783	9.284855839	190.0			
T	45.629770832	9.285030644	190.0			
T	45.629811316	9.285210774	190.0			
T	45.629843850	9.285339669	190.0			
T	45.629865001	9.285469305	190.0			
T	45.629884524	9.285596953	190.1			
T	45.629910245	9.285758462	190.2			
T	45.629924603	9.285865808	190.3			
T	45.629934953	9.285969852	190.2			
T	45.629944541	9.286048396	190.2			
T	45.629951406	9.286123091	190.2			
T	45.629954260	9.286195221	190.2			
T	45.629964626	9.286277548	190.1			
T	45.629969214	9.286355998	190.1			
T	45.629975671	9.286431854	190.1			
T	45.629981018	9.286542073	190.1			
T	45.629984358	9.286615024	190.1			
T	45.629988714	9.286688327	190.1			
T	45.629990783	9.286766408	190.4			
T	45.629997761	9.286848969	190.7			
T	45.630002281	9.286917137	190.9			
T	45.630004302	9.286980563	191.0			
T	45.630012808	9.287108329	191.0			
T	45.630018429	9.287209200	191.1			
T	45.630023944	9.287288444	191.1			
T	45.630028227	9.287382204	191.1			
T	45.630034877	9.287471055	191.1			
T	45.630038200	9.287548119	191.1			
T	45.630042899	9.287628056	191.2			
T	45.630048423	9.287719593	191.2			
T	45.630054254	9.287799466	191.2			
T	45.630056834	9.287873431	191.2			
T	45.630060980	9.287953809	191.2			
T	45.630064169	9.288011359	191.2			
T	45.630068272	9.288069947	191.2			
T	45.630073320	9.288127986	191.3			
T	45.630076627	9.288183252	191.3			
T	45.630079072	9.288243355	191.3			
T	45.630082266	9.288311764	191.3			
T	45.630086547	9.288384274	191.3			
T	45.630089919	9.288448711	191.3			
T	45.630093544	9.288511369	191.3			
T	45.630096846	9.288563699	191.3			
T	45.630100178	9.288630096	191.4			
T	45.630104868	9.288687619	191.4			
T	45.630107587	9.288749148	191.4			
T	45.630112078	9.288815708	191.4			
T	45.630114931	9.288881962	191.4			
T	45.630119136	9.288950587	191.4			
T	45.630123850	9.289018310	191.4			
T	45.630126535	9.289084746	191.5			
T	45.630131327	9.289146213	191.5			
T	45.630131502	9.289202837	191.4			
T	45.630135360	9.289265288	191.3			
T	45.630137128	9.289321438	191.2			
T	45.630139430	9.289385418	191.1			
T	45.630142941	9.289449129	191.0			
T	45.630144989	9.289505163	191.1			
T	45.630147221	9.289567635	191.2			
T	45.630151166	9.289637485	191.4			
T	45.630152598	9.289705925	191.5			
T	45.630154302	9.289768855	191.5			
T	45.630157148	9.289824289	191.4			
T	45.630158409	9.289867371	191.3			
T	45.630159719	9.289915697	191.2			
T	45.630164166	9.289962981	191.1			
T	45.630164922	9.290004285	191.0			
T	45.630165431	9.290054482	191.0			
T	45.630167506	9.290107445	191.0			
T	45.630172383	9.290157713	191.0			
T	45.630172386	9.290218074	191.0			
T	45.630174265	9.290278981	191.0			
T	45.630178104	9.290345373	191.0			
T	45.630179257	9.290407845	191.0			
T	45.630181176	9.290479703	191.0			
T	45.630187010	9.290546583	191.0			
T	45.630187678	9.290610711	191.0			
T	45.630190837	9.290680122	191.0			
T	45.630194330	9.290732329	191.0			
T	45.630195000	9.290766413	191.0			
T	45.630197379	9.290800001	191.0			
